Ion        Z   N  E_th(eV)  E_max(eV)   E_0(eV)  sigma_0(Mb)       y_a         P       y_w       y_0       y_1  Notes
F+++++++     9   2  9.539E+2   5.000E+4  1.131E+2     1.039E+2  2.657E+1  2.255E+0  0.000E+0  0.000E+0  0.000E+0  B
F++++++++       9   1  1.103E+3   5.000E+4  3.485E+1     6.759E+2  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Ne      10  10  2.156E+1   8.701E+2  4.870E+0     4.287E+3  5.798E+0  8.355E+0  2.434E-1  4.236E-2  5.873E+0  C
Ne+     10   9  4.096E+1   8.831E+2  1.247E+1     1.583E+3  3.935E+0  7.810E+0  6.558E-2  1.520E+0  1.084E-1  C
Ne++    10   8  6.346E+1   9.131E+2  7.753E-1     5.708E+0  6.725E+1  1.005E+1  4.633E-1  7.654E+1  2.023E+0  C
Ne+++     10   7  9.712E+1   9.480E+2  5.566E+0     1.685E+3  6.409E+2  3.056E+0  8.290E-3  5.149E+0  6.687E+0  C
Ne++++      10   6  1.262E+2   9.873E+2  1.248E+0     2.430E+0  1.066E+2  8.999E+0  6.855E-1  9.169E+1  3.702E-1  C
Ne+++++     10   5  1.579E+2   1.031E+3  1.499E+0     9.854E-1  1.350E+2  8.836E+0  1.656E+0  1.042E+2  1.435E+0  C
Ne++++++    10   4  2.073E+2   1.078E+3  4.888E+0     1.198E+4  1.788E+0  2.550E+1  2.811E+1  2.536E-2  4.417E-2  C
Ne+++++++   10   3  2.391E+2   1.125E+3  1.003E+1     5.631E+1  3.628E+1  5.585E+0  0.000E+0  0.000E+0  0.000E+0  B
Ne++++++++     10   2  1.196E+3   5.000E+4  1.586E+2     6.695E+1  3.352E+1  2.002E+0  0.000E+0  0.000E+0  0.000E+0  B
Ne+++++++++      10   1  1.362E+3   5.000E+4  4.304E+1     5.475E+2  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Na      11  11  5.139E+0   3.814E+1  6.139E+0     1.601E+0  6.148E+3  3.839E+0  0.000E+0  0.000E+0  0.000E+0  B
Na+     11  10  4.729E+1   1.074E+3  8.203E+0     1.040E+3  8.259E+0  7.362E+0  2.328E+0  3.375E+0  4.010E+0  C
Na++    11   9  7.162E+1   1.110E+3  1.069E+1     1.885E+3  3.613E+0  9.803E+0  8.579E-2  3.725E+0  2.279E-1  C
Na+++     11   8  9.892E+1   1.143E+3  6.690E-1     2.330E+0  1.205E+2  9.714E+0  7.365E-1  1.383E+2  4.260E+0  C
Na++++      11   7  1.384E+2   1.185E+3  5.408E+0     2.346E+1  2.913E+1  8.260E+0  9.275E-1  2.204E+1  7.577E-1  C
Na+++++     11   6  1.722E+2   1.230E+3  4.846E+1     7.101E+1  3.945E+1  2.832E+0  1.285E-2  9.603E-4  6.378E-3  C
Na++++++    11   5  2.085E+2   1.281E+3  2.096E+0     1.609E+0  2.473E+2  7.681E+0  1.895E+0  9.940E+1  3.278E+0  C^d
Na+++++++   11   4  2.642E+2   1.335E+3  1.535E+2     7.215E+3  3.886E-1  8.476E+0  9.121E-1  1.667E-1  1.766E-2  C
Na++++++++     11   3  2.999E+2   1.386E+3  1.391E+1     4.729E+1  3.889E+1  5.265E+0  0.000E+0  0.000E+0  0.000E+0  B
Na+++++++++      11   2  1.465E+3   5.000E+4  2.268E+2     3.995E+1  5.315E+1  1.678E+0  0.000E+0  0.000E+0  0.000E+0  B
Na++++++++++     11   1  1.649E+3   5.000E+4  5.211E+1     4.525E+2  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Mg      12  12  7.646E+0   5.490E+1  1.197E+1     1.372E+8  2.228E-1  1.574E+1  2.805E-1  0.000E+0  0.000E+0  E
Mg+     12  11  1.504E+1   6.569E+1  8.139E+0     3.278E+0  4.341E+7  3.610E+0  0.000E+0  0.000E+0  0.000E+0  B
Mg++    12  10  8.014E+1   1.317E+3  1.086E+1     5.377E+2  9.779E+0  7.117E+0  2.604E+0  4.860E+0  3.722E+0  C
Mg+++     12   9  1.093E+2   1.356E+3  2.912E+1     1.394E+3  2.895E+0  6.487E+0  4.326E-2  9.402E-1  1.135E-1  C^d
Mg++++      12   8  1.413E+2   1.400E+3  9.762E-1     1.728E+0  9.184E+1  1.006E+1  8.090E-1  1.276E+2  3.979E+0  C
Mg+++++     12   7  1.865E+2   1.449E+3  1.711E+0     2.185E+0  9.350E+1  9.202E+0  6.325E-1  1.007E+1  1.729E+0  C
Mg++++++    12   6  2.249E+2   1.501E+3  3.570E+0     3.104E+0  6.060E+1  8.857E+0  1.422E+0  5.452E+1  2.078E+0  C
Mg+++++++   12   5  2.660E+2   1.558E+3  4.884E-1     6.344E-2  5.085E+2  9.385E+0  6.666E-1  5.348E+2  3.997E-3  C
Mg++++++++     12   4  3.282E+2   1.618E+3  3.482E+1     9.008E+2  1.823E+0  1.444E+1  2.751E+0  5.444E+0  7.918E-2  C
Mg+++++++++      12   3  3.675E+2   1.675E+3  1.452E+1     4.427E+1  3.826E+1  5.460E+0  0.000E+0  0.000E+0  0.000E+0  B
Mg++++++++++     12   2  1.762E+3   5.000E+4  2.042E+2     6.140E+1  2.778E+1  2.161E+0  0.000E+0  0.000E+0  0.000E+0  B
Mg+++++++++++    12   1  1.963E+3   5.000E+4  6.203E+1     3.802E+2  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Al      13  13  5.986E+0   8.040E+1  1.381E+1     7.195E+0  1.621E+3  3.642E+0  3.166E-1  2.041E-1  4.753E-1  E
Al+     13  12  1.883E+1   8.997E+1  2.048E-1     6.948E-2  5.675E+2  9.049E+0  4.615E-1  9.149E+1  6.565E-1  C
Al++    13  11  2.845E+1   1.026E+2  1.027E+1     4.915E+0  1.990E+6  3.477E+0  0.000E+0  0.000E+0  0.000E+0  B
Al+++     13  10  1.200E+2   1.588E+3  3.130E+0     1.513E+1  1.674E+1  1.180E+1  5.342E+0  3.994E+1  4.803E+0  C
Al++++      13   9  1.538E+2   1.634E+3  2.414E+1     2.925E+2  6.973E+0  6.724E+0  1.000E-1  3.495E+0  2.701E-1  C
Al+++++     13   8  1.905E+2   1.688E+3  3.483E-1     1.962E-2  1.856E+1  2.084E+1  8.839E+0  5.675E-2  2.768E-1  C
Al++++++    13   7  2.414E+2   1.739E+3  2.636E+0     1.889E+2  1.338E+2  6.204E+0  1.836E+0  3.552E+1  8.223E-3  C
Al+++++++   13   6  2.846E+2   1.799E+3  4.866E-1     2.350E-1  7.216E+2  8.659E+0  2.773E-1  5.704E+2  1.580E-1  C
Al++++++++     13   5  3.301E+2   1.862E+3  1.842E+0     4.928E-1  2.568E+2  8.406E+0  6.945E-1  1.719E+2  6.295E+0  C
Al+++++++++      13   4  3.994E+2   1.929E+3  8.044E+1     1.774E+4  1.653E+0  2.655E+1  2.953E+1  2.538E-2  1.203E-2  C
Al++++++++++     13   3  4.421E+2   1.992E+3  2.355E+1     3.388E+1  3.432E+1  5.085E+0  0.000E+0  0.000E+0  0.000E+0  B
Al+++++++++++    13   2  2.086E+3   5.000E+4  2.738E+2     4.036E+1  3.567E+1  1.915E+0  0.000E+0  0.000E+0  0.000E+0  B
Al++++++++++++   13   1  2.304E+3   5.000E+4  7.281E+1     3.239E+2  3.288E+1  2.963E+0  0.000E+0  0.000E+0  0.000E+0  A
Si      14  14  8.152E+0   1.060E+2  2.317E+1     2.506E+1  2.057E+1  3.546E+0  2.837E-1  1.672E-5  4.207E-1  E
Si+     14  13  1.635E+1   1.186E+2  2.556E+0     4.140E+0  1.337E+1  1.191E+1  1.570E+0  6.634E+0  1.272E-1  D
Si++    14  12  3.349E+1   1.311E+2  1.659E-1     5.790E-4  1.474E+2  1.336E+1  8.626E-1  9.613E+1  6.442E-1  C
Si+++     14  11  4.514E+1   1.466E+2  1.288E+1     6.083E+0  1.356E+6  3.353E+0  0.000E+0  0.000E+0  0.000E+0  B
Si++++      14  10  1.668E+2   1.887E+3  7.761E-1     8.863E-1  1.541E+2  9.980E+0  1.303E+0  2.009E+2  4.537E+0  C
