dummy                 0e0
CRP                   0e0
CR                    0e0
Photon                0e0
PHOTON                0e0
_PARA                 0e0
_ORTHO                0e0
_META                 0e0
GRAIN                 0e0
_DUST                 0e0
_BULK                 0e0
e-                    9.109383e-28
+                     0e0
-                     0e0
dust                  0e0
c-                    0e0
l-                    0e0
t-                    0e0
c                     0e0
l                     0e0
i                     0e0
n                     0e0
M                     0e0
X                     0e0
H                     1.673773e-24
D                     3.343586e-24
He                    6.646473e-24
Li                    1.152580e-23
Be                    1.496508e-23
B                     1.795043e-23
C                     1.994473e-23
N                     2.325867e-23
O                     2.656763e-23
F                     3.154759e-23
Ne                    3.350801e-23
Na                    3.817541e-23
Mg                    4.035940e-23
Al                    4.480390e-23
Si                    4.663707e-23
P                     5.143313e-23
S                     5.323688e-23
Cl                    5.887109e-23
K                     6.492425e-23
Ar                    6.633521e-23
Ca                    6.655440e-23
Sc                    7.465102e-23
Ti                    7.953981e-23
V                     8.459034e-23
Cr                    8.634138e-23
Mn                    9.122669e-23
Fe                    9.273612e-23
Ni                    9.747363e-23
Co                    9.786087e-23
Cu                    1.055206e-22
Zn                    1.085660e-22
Ga                    1.157728e-22
Ge                    1.205385e-22
As                    1.244102e-22
Se                    1.311162e-22
Br                    1.326837e-22
Kr                    1.391532e-22
Rb                    1.419226e-22
Sr                    1.454964e-22
Y                     1.476317e-22
Zr                    1.514744e-22
Nb                    1.542747e-22
Mo                    1.593121e-22
Ru                    1.678307e-22
Rh                    1.708786e-22
Pd                    1.766813e-22
Ag                    1.791190e-22
Cd                    1.866612e-22
In                    1.906631e-22
Sn                    1.970894e-22
Sb                    2.021706e-22
I                     2.107299e-22
Te                    2.118848e-22
Xe                    2.180288e-22
Cs                    2.206946e-22
Ba                    2.280418e-22
La                    2.306580e-22
Ce                    2.326747e-22
Pr                    2.339827e-22
Nd                    2.395161e-22
Sm                    2.497451e-22
Eu                    2.523355e-22
Gd                    2.611197e-22
Tb                    2.639018e-22
Dy                    2.698376e-22
Ho                    2.738733e-22
Er                    2.777417e-22
Tm                    2.805218e-22
Yb                    2.873397e-22
Lu                    2.905395e-22
Hf                    2.963896e-22
Ta                    3.004710e-22
W                     3.052901e-22
Re                    3.092040e-22
Os                    3.158345e-22
Ir                    3.191888e-22
Pt                    3.239545e-22
Au                    3.270705e-22
Hg                    3.330875e-22
Tl                    3.393643e-22
Pb                    3.440637e-22
Bi                    3.470201e-22
Ra                    3.753240e-22
Ac                    3.769885e-22
Pa                    3.836441e-22
Th                    3.853083e-22
Np                    3.936278e-22
U                     3.952564e-22
